"year","month","keyword","total_tweets","num_rt","num_not_rt","num_unique_tweets","num_unique_users"
"2018","11","murray darling","540","421","119","158","403"
"2018","11","murray-darling","458","348","110","135","367"
"2018","11","murray river","301","85","216","231","207"
"2018","11","mdba","287","142","145","196","192"
"2018","11","murraydarling","244","165","79","107","150"
"2018","11","mdbp","137","72","65","104","123"
"2018","11","basin plan","135","73","62","82","98"
"2018","11","basin authority","97","87","10","20","89"
"2018","11","murrayriver","83","29","54","60","66"
"2018","11","basinplan","47","24","23","26","26"
"2018","11","riverdarling","38","20","18","34","7"
"2018","11","river murray","35","13","22","26","30"
"2018","11","rivermurray","23","11","12","12","18"
"2018","11","basinauthority","1","0","1","1","1"
"2018","12","murray-darling","1264","991","273","316","784"
"2018","12","murray darling","808","636","172","207","598"
"2018","12","murraydarling","517","419","98","151","297"
"2018","12","basin plan","372","254","118","153","257"
"2018","12","basin authority","349","307","42","44","307"
"2018","12","mdba","338","210","128","209","259"
"2018","12","murray river","293","115","178","196","229"
"2018","12","mdbp","165","89","76","131","111"
"2018","12","basinplan","92","42","50","55","50"
"2018","12","murrayriver","87","34","53","57","68"
"2018","12","rivermurray","29","13","16","16","23"
"2018","12","riverdarling","26","24","2","10","19"
"2018","12","river murray","25","7","18","18","21"
"2018","12","river darling","1","1","0","1","1"
"2019","1","murraydarling","20983","17843","3140","3948","4152"
"2019","1","murray-darling","18572","15472","3100","3681","4935"
"2019","1","murray darling","18427","15947","2480","3052","4915"
"2019","1","basin plan","4016","3425","591","742","1803"
"2019","1","mdba","3216","2440","776","1063","1249"
"2019","1","basin authority","1922","1531","391","459","1097"
"2019","1","murray river","1409","966","443","532","993"
"2019","1","mdbp","1184","651","533","619","716"
"2019","1","murrayriver","408","299","109","131","354"
"2019","1","basinplan","367","290","77","93","245"
"2019","1","river murray","139","88","51","62","123"
"2019","1","riverdarling","35","34","1","11","29"
"2019","1","river darling","12","4","8","9","10"
"2019","1","basinauthority","12","3","9","9","9"
"2019","1","rivermurray","10","3","7","8","9"
"2019","2","murray-darling","9389","7735","1654","2025","3663"
"2019","2","murraydarling","8091","6567","1524","2091","2516"
"2019","2","murray darling","6289","5159","1130","1485","2550"
"2019","2","mdba","2528","2015","513","739","1291"
"2019","2","basin plan","1862","1479","383","515","1008"
"2019","2","basin authority","813","693","120","151","611"
"2019","2","mdbp","691","506","185","269","501"
"2019","2","murray river","579","292","287","315","444"
"2019","2","river murray","537","456","81","91","369"
"2019","2","basinplan","252","187","65","72","156"
"2019","2","murrayriver","86","27","59","62","70"
"2019","2","rivermurray","63","37","26","29","47"
"2019","2","basinauthority","27","23","4","6","25"
"2019","2","river darling","7","5","2","3","7"
"2019","2","riverdarling","3","3","0","3","3"
"2019","3","murray darling","2949","2478","471","608","1688"
"2019","3","murraydarling","2638","2162","476","727","1137"
"2019","3","murray-darling","2140","1543","597","734","1204"
"2019","3","mdba","658","428","230","332","443"
"2019","3","murray river","577","367","210","244","486"
"2019","3","basin plan","548","401","147","190","364"
"2019","3","mdbp","408","286","122","185","321"
"2019","3","basin authority","235","185","50","68","196"
"2019","3","basinplan","121","75","46","53","70"
"2019","3","river murray","107","73","34","40","94"
"2019","3","murrayriver","81","40","41","48","69"
"2019","3","rivermurray","15","3","12","12","8"
"2019","3","riverdarling","14","14","0","8","9"
"2019","4","murray-darling","7045","5794","1251","1506","2405"
"2019","4","murray darling","5995","5302","693","883","2922"
"2019","4","murraydarling","5275","4248","1027","1383","1752"
"2019","4","basin plan","1846","1505","341","413","1086"
"2019","4","mdba","1667","1324","343","531","907"
"2019","4","mdbp","583","414","169","257","408"
"2019","4","murray river","361","151","210","225","306"
"2019","4","river murray","180","144","36","43","166"
"2019","4","basin authority","145","118","27","34","128"
"2019","4","murrayriver","117","54","63","70","92"
"2019","4","basinplan","114","85","29","36","87"
"2019","4","rivermurray","9","3","6","7","9"
"2019","4","river darling","3","3","0","1","3"
"2019","4","basinauthority","1","0","1","1","1"
"2019","5","murray darling","3244","2737","507","660","1883"
"2019","5","murray-darling","2167","1625","542","663","1306"
"2019","5","murraydarling","1233","869","364","501","634"
"2019","5","basin authority","1025","931","94","107","840"
"2019","5","basin plan","584","457","127","155","458"
"2019","5","mdba","570","363","207","296","383"
"2019","5","mdbp","450","323","127","205","342"
"2019","5","murray river","321","144","177","214","262"
"2019","5","murrayriver","83","35","48","57","63"
"2019","5","river murray","81","37","44","46","70"
"2019","5","basinplan","59","33","26","29","34"
"2019","5","rivermurray","9","2","7","7","7"
"2019","5","riverdarling","4","4","0","1","4"
"2019","5","river darling","4","1","3","3","4"
"2019","5","basinauthority","1","1","0","1","1"
"2019","6","murray darling","1086","883","203","259","733"
"2019","6","murray river","815","544","271","311","570"
"2019","6","murray-darling","658","514","144","182","520"
"2019","6","murraydarling","543","429","114","180","331"
"2019","6","mdba","475","353","122","218","370"
"2019","6","mdbp","202","143","59","92","181"
"2019","6","basin plan","107","70","37","44","93"
"2019","6","murrayriver","80","26","54","58","56"
"2019","6","basin authority","49","34","15","19","47"
"2019","6","river murray","27","5","22","23","21"
"2019","6","basinplan","17","10","7","9","12"
"2019","6","rivermurray","9","0","9","9","6"
"2019","6","riverdarling","1","1","0","1","1"
"2019","7","murray darling","4838","4037","801","1011","2153"
"2019","7","murray-darling","4768","3948","820","1001","2002"
"2019","7","basin plan","3339","2936","403","483","1615"
"2019","7","murraydarling","3305","2764","541","722","1345"
"2019","7","mdba","1063","770","293","404","609"
"2019","7","mdbp","749","551","198","299","472"
"2019","7","murray river","700","519","181","218","558"
"2019","7","basin authority","439","415","24","41","375"
"2019","7","basinplan","212","153","59","65","136"
"2019","7","murrayriver","80","24","56","68","43"
"2019","7","river murray","35","12","23","24","29"
"2019","7","rivermurray","9","1","8","8","7"
"2019","7","riverdarling","8","8","0","6","6"
"2019","8","murray darling","1253","1019","234","312","811"
"2019","8","murraydarling","1096","933","163","238","711"
"2019","8","murray-darling","1010","710","300","373","709"
"2019","8","basin plan","620","472","148","186","444"
"2019","8","mdba","313","191","122","189","235"
"2019","8","mdbp","199","127","72","124","178"
"2019","8","murray river","198","90","108","127","164"
"2019","8","basin authority","47","38","9","13","47"
"2019","8","river murray","40","13","27","27","28"
"2019","8","murrayriver","39","6","33","38","26"
"2019","8","rivermurray","25","14","11","11","19"
"2019","8","basinplan","24","15","9","13","19"
"2019","8","riverdarling","3","3","0","2","3"
"2019","8","basinauthority","1","0","1","1","1"
"2019","9","murray-darling","1887","1558","329","417","1204"
"2019","9","murray darling","1523","1291","232","323","996"
"2019","9","murraydarling","895","712","183","266","534"
"2019","9","murray river","800","583","217","253","607"
"2019","9","mdba","606","442","164","254","450"
"2019","9","basin plan","424","300","124","150","325"
"2019","9","mdbp","223","164","59","109","206"
"2019","9","river murray","58","22","36","37","33"
"2019","9","basinplan","51","28","23","26","37"
"2019","9","basin authority","50","39","11","14","46"
"2019","9","murrayriver","44","8","36","39","27"
"2019","9","rivermurray","10","5","5","6","10"
"2019","9","riverdarling","2","2","0","1","2"
"2019","10","murray-darling","2901","2353","548","660","1525"
"2019","10","murray darling","2522","2072","450","630","1333"
"2019","10","mdba","1413","1157","256","402","841"
"2019","10","murraydarling","1296","860","436","547","590"
"2019","10","basin plan","823","671","152","182","572"
"2019","10","murray river","666","473","193","233","495"
"2019","10","basin authority","609","494","115","145","453"
"2019","10","mdbp","302","173","129","200","231"
"2019","10","river murray","114","73","41","43","92"
"2019","10","basinplan","73","47","26","33","50"
"2019","10","murrayriver","62","15","47","50","49"
"2019","10","riverdarling","28","27","1","5","28"
"2019","10","rivermurray","8","1","7","7","7"
"2019","10","river darling","3","0","3","3","2"
"2019","10","basinauthority","2","1","1","1","2"
"2019","11","murray darling","1041","804","237","350","677"
"2019","11","murray-darling","998","707","291","372","663"
"2019","11","murraydarling","870","693","177","237","539"
"2019","11","basin plan","508","383","125","163","352"
"2019","11","mdba","411","277","134","217","308"
"2019","11","mdbp","316","220","96","131","267"
"2019","11","murray river","311","132","179","194","248"
"2019","11","basin authority","116","96","20","32","105"
"2019","11","river murray","82","32","50","55","70"
"2019","11","murrayriver","46","11","35","41","31"
"2019","11","basinplan","37","19","18","20","20"
"2019","11","rivermurray","25","8","17","17","18"
"2019","11","riverdarling","9","9","0","4","8"
"2019","12","murray-darling","1953","1391","562","674","1093"
"2019","12","basin plan","1318","962","356","446","741"
"2019","12","murray darling","1310","968","342","452","878"
"2019","12","murraydarling","894","676","218","286","552"
"2019","12","mdba","523","371","152","246","401"
"2019","12","mdbp","424","268","156","213","328"
"2019","12","murray river","363","182","181","211","290"
"2019","12","river murray","121","92","29","32","102"
"2019","12","basinplan","99","51","48","54","56"
"2019","12","murrayriver","56","9","47","47","37"
"2019","12","basin authority","30","15","15","22","28"
"2019","12","basinauthority","8","5","3","4","7"
"2019","12","rivermurray","5","2","3","4","5"
"2019","12","riverdarling","5","5","0","2","5"
"2019","12","river darling","2","1","1","2","2"
"2020","1","murray-darling","1601","1324","277","350","1055"
"2020","1","murray darling","1114","856","258","342","819"
"2020","1","murraydarling","555","405","150","197","359"
"2020","1","mdba","467","339","128","187","352"
"2020","1","murray river","416","230","186","217","343"
"2020","1","basin plan","225","183","42","57","185"
"2020","1","mdbp","134","68","66","98","119"
"2020","1","basin authority","81","60","21","29","75"
"2020","1","murrayriver","74","21","53","58","52"
"2020","1","river murray","55","37","18","19","47"
"2020","1","rivermurray","15","9","6","8","14"
"2020","1","basinplan","13","5","8","8","10"
"2020","1","basinauthority","3","1","2","3","3"
"2020","1","riverdarling","2","2","0","1","2"
"2020","1","river darling","1","0","1","1","1"
"2020","2","murray-darling","1192","875","317","386","798"
"2020","2","murray darling","866","708","158","256","587"
"2020","2","murraydarling","462","321","141","191","270"
"2020","2","basin plan","349","275","74","99","290"
"2020","2","mdba","348","247","101","198","246"
"2020","2","murray river","322","171","151","168","260"
"2020","2","mdbp","295","220","75","124","242"
"2020","2","basin authority","102","99","3","5","100"
"2020","2","river murray","39","19","20","23","34"
"2020","2","murrayriver","38","4","34","36","21"
"2020","2","basinplan","17","12","5","9","12"
"2020","2","rivermurray","3","0","3","3","3"
"2020","2","basinauthority","2","0","2","2","1"
"2020","2","river darling","1","0","1","1","1"
"2020","3","murray darling","750","652","98","143","555"
"2020","3","murraydarling","397","336","61","92","302"
"2020","3","murray-darling","370","263","107","136","299"
"2020","3","mdba","310","191","119","196","237"
"2020","3","murray river","167","57","110","123","142"
"2020","3","mdbp","160","89","71","110","145"
"2020","3","basin plan","111","79","32","43","94"
"2020","3","murrayriver","63","21","42","46","38"
"2020","3","river murray","37","13","24","25","28"
"2020","3","basin authority","20","12","8","8","20"
"2020","3","rivermurray","7","3","4","4","7"
"2020","3","basinplan","7","2","5","5","6"
"2020","3","riverdarling","1","1","0","1","1"
"2020","4","murray darling","991","775","216","283","683"
"2020","4","murray-darling","812","638","174","204","645"
"2020","4","murraydarling","336","256","80","94","257"
"2020","4","mdba","332","221","111","176","270"
"2020","4","murray river","316","140","176","188","236"
"2020","4","mdbp","168","109","59","101","157"
"2020","4","basin plan","155","104","51","56","127"
"2020","4","river murray","83","50","33","34","55"
"2020","4","murrayriver","35","4","31","32","19"
"2020","4","basin authority","26","18","8","12","22"
"2020","4","rivermurray","17","12","5","6","16"
"2020","4","basinplan","8","4","4","4","6"
"2020","5","murray-darling","1523","1182","341","394","1007"
"2020","5","murray darling","594","474","120","195","388"
"2020","5","murray river","363","189","174","192","298"
"2020","5","mdba","268","153","115","185","197"
"2020","5","murraydarling","259","155","104","125","180"
"2020","5","mdbp","157","100","57","104","142"
"2020","5","basin plan","145","95","50","69","117"
"2020","5","river murray","118","79","39","47","106"
"2020","5","basin authority","54","45","9","11","52"
"2020","5","murrayriver","38","3","35","36","18"
"2020","5","basinplan","7","2","5","5","5"
"2020","5","rivermurray","6","2","4","4","6"
"2020","6","murray-darling","444","295","149","186","317"
"2020","6","murray darling","370","294","76","123","291"
"2020","6","mdba","281","197","84","183","211"
"2020","6","murray river","249","109","140","153","210"
"2020","6","basin plan","246","170","76","93","177"
"2020","6","murraydarling","216","146","70","96","127"
"2020","6","mdbp","114","67","47","88","109"
"2020","6","murrayriver","66","3","63","63","27"
"2020","6","basinplan","58","32","26","26","22"
"2020","6","river murray","40","11","29","31","35"
"2020","6","basin authority","18","10","8","11","18"
"2020","6","rivermurray","9","2","7","7","6"
"2020","7","murray-darling","873","690","183","224","653"
"2020","7","murray river","611","307","304","337","502"
"2020","7","murraydarling","457","386","71","97","328"
"2020","7","murray darling","386","305","81","123","312"
"2020","7","mdbp","242","187","55","92","228"
"2020","7","mdba","167","101","66","117","139"
"2020","7","river murray","150","102","48","54","126"
"2020","7","basin plan","91","63","28","38","72"
"2020","7","murrayriver","88","25","63","66","52"
"2020","7","rivermurray","22","13","9","11","18"
"2020","7","basinplan","18","7","11","12","11"
"2020","7","basin authority","6","2","4","5","6"
"2020","8","murray-darling","741","614","127","172","563"
"2020","8","murraydarling","703","636","67","85","543"
"2020","8","murray darling","458","370","88","130","363"
"2020","8","mdba","263","175","88","172","212"
"2020","8","murray river","223","57","166","176","165"
"2020","8","basin plan","170","127","43","56","130"
"2020","8","basin authority","97","72","25","26","84"
"2020","8","mdbp","75","35","40","62","71"
"2020","8","murrayriver","59","11","48","51","21"
"2020","8","river murray","36","10","26","28","32"
"2020","8","rivermurray","28","17","11","12","22"
"2020","8","basinplan","6","2","4","4","5"
"2020","9","murray-darling","1195","839","356","431","788"
"2020","9","murray darling","834","677","157","218","634"
"2020","9","murraydarling","780","643","137","189","533"
"2020","9","murray river","351","141","210","231","255"
"2020","9","basin plan","295","221","74","92","241"
"2020","9","mdba","285","158","127","193","220"
"2020","9","mdbp","144","89","55","100","119"
"2020","9","basin authority","79","56","23","27","74"
"2020","9","murrayriver","61","12","49","51","32"
"2020","9","basinplan","58","43","15","18","45"
"2020","9","river murray","25","9","16","16","22"
"2020","9","rivermurray","9","5","4","6","8"
"2020","10","murray darling","714","621","93","146","611"
"2020","10","murray-darling","306","212","94","110","271"
"2020","10","mdba","264","149","115","185","170"
"2020","10","murray river","263","105","158","168","192"
"2020","10","murraydarling","228","161","67","82","168"
"2020","10","basin authority","124","110","14","17","119"
"2020","10","basin plan","124","98","26","34","112"
"2020","10","mdbp","112","68","44","76","107"
"2020","10","river murray","57","32","25","28","43"
"2020","10","murrayriver","49","7","42","45","20"
"2020","10","basinplan","16","9","7","7","13"
"2020","10","rivermurray","15","7","8","8","9"
"2020","11","murray-darling","566","388","178","211","458"
"2020","11","basin plan","371","224","147","169","310"
"2020","11","murray darling","299","229","70","105","260"
"2020","11","murray river","249","110","139","155","208"
"2020","11","mdba","194","125","69","118","170"
"2020","11","murraydarling","170","118","52","65","114"
"2020","11","mdbp","95","37","58","80","84"
"2020","11","murrayriver","53","8","45","46","25"
"2020","11","river murray","47","25","22","23","42"
"2020","11","basinplan","17","7","10","10","11"
"2020","11","basin authority","17","13","4","8","17"
"2020","11","river darling","1","0","1","1","1"
"2020","12","murray-darling","599","402","197","227","453"
"2020","12","murray darling","395","290","105","138","317"
"2020","12","murray river","370","169","201","217","298"
"2020","12","mdba","303","150","153","221","199"
"2020","12","mdbp","239","185","54","89","228"
"2020","12","murraydarling","214","150","64","75","146"
"2020","12","basin plan","184","80","104","117","133"
"2020","12","basin authority","74","49","25","31","72"
"2020","12","river murray","53","19","34","35","34"
"2020","12","murrayriver","51","6","45","47","24"
"2020","12","basinplan","18","8","10","10","16"
"2020","12","rivermurray","2","0","2","2","2"
"2021","1","murraydarling","812","740","72","88","482"
"2021","1","murray river","586","200","386","411","396"
"2021","1","murray darling","418","319","99","117","319"
"2021","1","mdba","374","199","175","268","276"
"2021","1","mdbp","247","165","82","152","217"
"2021","1","murray-darling","242","167","75","80","201"
"2021","1","basin plan","112","91","21","23","88"
"2021","1","murrayriver","101","26","75","84","56"
"2021","1","river murray","32","15","17","17","31"
"2021","1","riverdarling","22","18","4","4","17"
"2021","1","basin authority","11","7","4","4","11"
"2021","1","rivermurray","6","3","3","3","6"
"2021","1","basinplan","2","0","2","2","1"
"2021","1","river darling","1","0","1","1","1"
"2021","2","murray darling","962","794","168","192","732"
"2021","2","murray-darling","646","480","166","189","481"
